CODE,DESCRIPTION,FUNCTIONAL GROUP
SPELFO1,Sponges: Erect Forms: Laminar: Fan Orange,10000913_2
SPELFTLO10,Sponges: Erect Forms: Laminar: Fan Thick Large Oscules,10000913_3
SPELFTP11,Sponges: Erect Forms: Laminar: Fan Thick Pink,10000913_4
SPELFBT12,Sponges: Erect Forms: Laminar: Fan Brown Thin,10000913_5
SPELFOT15,Sponges: Erect Forms: Laminar: Fan Orange Thorny,10000913_6
SPELFOF3,Sponges: Erect Forms: Laminar: Fan Orange Flat,10000913_7
SPELFP5,Sponges: Erect Forms: Laminar: Fan Peach,10000913_8
SPELFY6,Sponges: Erect Forms: Laminar: Fan Yellow,10000913_9
SPELFOT7,Sponges: Erect Forms: Laminar: Fan Orange Thin Blade,10000913_10
SPELFBT8,Sponges: Erect Forms: Laminar: Fan Blue Thick,10000913_11
SPELFOT9,Sponges: Erect Forms: Laminar: Fan Orange Thick,10000913_12
SPELFLPL,Sponges: Erect Forms: Laminar: Fan Light Pink Lumpy,10000913_13
SPELFPT,Sponges: Erect Forms: Laminar: Fan Peach Thick,10000913_14
SPELFWF,Sponges: Erect Forms: Laminar: Fan White Frilly,10000913_15
SPELFWT,Sponges: Erect Forms: Laminar: Fan White Thick,10000913_16
SPELFWTh,Sponges: Erect Forms: Laminar: Fan White Thin,10000913_17
SPELLAS,Sponges: Erect Forms: Laminar: Laminar Apricot Stalked,10000913_18
SPELLGF,Sponges: Erect Forms: Laminar: Laminar Grey Fungi,10000913_19
SPELLGR,Sponges: Erect Forms: Laminar: Laminar Grey Rough,10000913_20
SPELLGRS,Sponges: Erect Forms: Laminar: Laminar Grey Round Stalk,10000913_21
SPELLOI,Sponges: Erect Forms: Laminar: Laminar Orange Irregular,10000913_22
SPELLOSP,Sponges: Erect Forms: Laminar: Laminar Orange Surface Pores,10000913_23
SPELLWI,Sponges: Erect Forms: Laminar: Laminar White Irregular,10000913_24
SPELLWS,Sponges: Erect Forms: Laminar: Laminar White Small,10000913_25
SPELLYF,Sponges: Erect Forms: Laminar: Laminar Yellow Fine,10000913_26
SPELLTFT,Sponges: Erect Forms: Laminar: Laminar Terracotta Fan Thick,10000913_27
SPELLBR,Sponges: Erect Forms: Laminar: Laminar Brown Ruffle,10000913_28
SPEP,Sponges: Erect Forms: Palmate,10000914_1
SPEPAWF1,Sponges: Erect Forms: Palmate: Arborescent White Flat,10000914_2
SPEPAOT11,Sponges: Erect Forms: Palmate: Arborescent Orange Fan,10000914_3
SPEPABT16,Sponges: Erect Forms: Palmate: Arborescent Brown Thick,10000914_4
SPEPAOF4,Sponges: Erect Forms: Palmate: Arborescent Orange Flat,10000914_5
SPEPFWT14,Sponges: Erect Forms: Palmate: Fan White Thin,10000914_6
SPEPPBF,Sponges: Erect Forms: Palmate: Palmate Beige Flat,10000914_7
SPEPPG,Sponges: Erect Forms: Palmate: Palmate Grey,10000914_8
SPEPPGF,Sponges: Erect Forms: Palmate: Palmate Grey Fingers,10000914_9
