"Matched_image_name","Lat","Long","Date"
"L1120_NPZT3_redo_13_50_09_0143",33.54814333,115.3771283,"20200519"
"L1120_NPZT3_redo_13_50_09_0144",33.54815,115.3770833,"20200519"
"L1120_NPZT3_redo_13_50_09_0145",33.548155,115.377065,"20200519"
"L1120_NPZT3_redo_13_50_09_0146",33.54815833,115.3770433,"20200519"
"L1120_NPZT3_redo_13_50_09_0147",33.548155,115.3770017,"20200519"
"L1120_NPZT3_redo_13_50_09_0148",33.54814833,115.376965,"20200519"
"L1120_NPZT3_redo_13_50_09_0149",33.54814667,115.37692,"20200519"
"L1120_NPZT3_redo_13_50_09_0150",33.548145,115.3768833,"20200519"
"L1120_NPZT3_redo_13_50_09_0151",33.54814333,115.376845,"20200519"
"L1120_NPZT3_redo_13_50_09_0152",33.54813167,115.376805,"20200519"
"L1120_NPZT3_redo_13_50_09_0153",33.54812167,115.376765,"20200519"
"L1120_NPZT3_redo_13_50_09_0154",33.54812,115.3767167,"20200519"
"L1120_NPZT3_redo_13_50_09_0155",33.54812167,115.3766767,"20200519"
"L1120_NPZT3_redo_13_50_09_0156",33.54812167,115.3766383,"20200519"
"L1120_NPZT3_redo_13_50_09_0157",33.54811,115.3765967,"20200519"
"L1120_NPZT3_redo_13_50_09_0158",33.54809333,115.3765683,"20200519"
"L1120_NPZT4_14_21_25_0088",33.54061,115.3711617,"20200519"
"L1120_NPZT4_14_21_25_0089",33.5406,115.3711117,"20200519"
"L1120_NPZT4_14_21_25_0090",33.54058167,115.37106,"20200519"
"L1120_NPZT4_14_21_25_0091",33.54056833,115.37101,"20200519"
"L1120_NPZT4_14_21_25_0092",33.54055167,115.3709567,"20200519"
"L1120_NPZT4_14_21_25_0093",33.54055167,115.3709,"20200519"
"L1120_NPZT4_14_21_25_0094",33.54054833,115.3708567,"20200519"
"L1120_NPZT4_14_21_25_0095",33.54055333,115.3708033,"20200519"
"L1120_NPZT4_14_21_25_0096",33.540555,115.3707583,"20200519"
"L1120_NPZT4_14_21_25_0097",33.540545,115.3707283,"20200519"
"L1120_NPZT4_14_21_25_0098",33.54054,115.3707067,"20200519"
"L1120_NPZT4_14_21_25_0099",33.54053667,115.370665,"20200519"
"L1120_NPZT4_14_21_25_0100",33.540535,115.37063,"20200519"
"L1120_NPZT4_14_21_25_0101",33.54053167,115.3706,"20200519"
"L1120_NPZT4_14_21_25_0102",33.540515,115.3705617,"20200519"
"L1120_NPZT4_14_21_25_0103",33.54050667,115.3705283,"20200519"
"L1120_NPZT4_14_21_25_0104",33.5405,115.3704967,"20200519"
"L1120_NPZT4_14_21_25_0105",33.540495,115.37047,"20200519"
"L1120_NPZT4_14_21_25_0106",33.54048667,115.3704367,"20200519"
"L1120_NPZT4_14_21_25_0107",33.54048833,115.37041,"20200519"
"L1120_NPZT4_14_21_25_0108",33.54048667,115.3703717,"20200519"
"L1120_NPZT4_14_21_25_0109",33.54047833,115.37033,"20200519"
"L1120_NPZT4_14_21_25_0110",33.54046833,115.370285,"20200519"
"L1120_NPZT4_14_21_25_0111",33.54047,115.37024,"20200519"
"L1120_NPZT4_14_21_25_0112",33.540465,115.370195,"20200519"
"L1120_NPZT4_14_21_25_0113",33.54045667,115.3701417,"20200519"
"L1120_NPZT4_14_21_25_0114",33.54044833,115.3700933,"20200519"
"L1120_NPZT4_14_21_25_0115",33.54043667,115.3700467,"20200519"
"L1120_NPZT4_14_21_25_0116",33.54042833,115.3700083,"20200519"
"L1120_NPZT4_14_21_25_0117",33.54042,115.3699717,"20200519"
"L1120_NPZT4_14_21_25_0118",33.54041167,115.369945,"20200519"
"L1120_NPZT4_14_21_25_0119",33.54040667,115.3699133,"20200519"
"L1120_NPZT4_14_21_25_0120",33.54039167,115.3698783,"20200519"
"L1120_NPZT4_14_21_25_0121",33.54039,115.3698567,"20200519"
"L1120_NPZT4_14_21_25_0122",33.54038167,115.36981,"20200519"
"L1120_NPZT4_14_21_25_0123",33.54036,115.36977,"20200519"
"L1120_NPZT4_14_21_25_0124",33.54034833,115.3697367,"20200519"
"L1120_NPZT4_14_21_25_0125",33.54033667,115.3696967,"20200519"
"L1120_NPZT4_14_21_25_0126",33.540335,115.3696533,"20200519"
"L1120_NPZT4_14_21_25_0127",33.540335,115.3696133,"20200519"
"L1120_NPZT4_14_21_25_0128",33.54032667,115.3695717,"20200519"
"L1120_NPZT4_14_21_25_0129",33.54032167,115.369545,"20200519"
"L1120_NPZT4_14_21_25_0130",33.54031333,115.3695117,"20200519"
"L1120_NPZT4_14_21_25_0131",33.54030833,115.3694883,"20200519"
"L1120_NPZT4_14_21_25_0132",33.540295,115.3694517,"20200519"
"L1120_NPZT4_14_21_25_0133",33.54029,115.36941,"20200519"
"L1120_NPZT4_14_21_25_0134",33.54029,115.36937,"20200519"
"L1120_NPZT4_14_21_25_0135",33.54028,115.3693283,"20200519"
"L1120_NPZT4_14_21_25_0136",33.54027833,115.369285,"20200519"
"L1120_NPZT4_14_21_25_0137",33.54028333,115.3692383,"20200519"
"L1120_NPZT4_14_21_25_0138",33.54028333,115.3691983,"20200519"
"L1120_NPZT4_14_21_25_0139",33.540285,115.3691517,"20200519"
"L1120_NPZT4_14_21_25_0140",33.54028667,115.3691117,"20200519"
"L1120_NPZT4_14_21_25_0141",33.54028833,115.3690767,"20200519"
"L1120_NPZT4_14_21_25_0142",33.540285,115.369035,"20200519"
"L1120_NPZT4_14_21_25_0143",33.54028667,115.3689917,"20200519"
"L1120_NPZT4_14_21_25_0144",33.54029167,115.368955,"20200519"
"L1120_NPZT4_14_21_25_0145",33.54028833,115.3689067,"20200519"
"L1120_NPZT4_14_21_25_0146",33.540285,115.3688667,"20200519"
"L1120_NPZT4_14_21_25_0147",33.54027833,115.36882,"20200519"
"L1120_NPZT4_14_21_25_0148",33.54027333,115.3687617,"20200519"
"L1120_NPZT4_14_21_25_0149",33.54025833,115.3687117,"20200519"
"L1120_NPZT4_14_21_25_0150",33.54024667,115.3686567,"20200519"
"L1120_NPZT4_14_21_25_0151",33.540235,115.368605,"20200519"
"L1120_NPZT4_14_21_25_0152",33.54021667,115.368565,"20200519"
"L1120_NPZT4_14_21_25_0153",33.54019,115.3685233,"20200519"
"L1120_NPZT4_14_21_25_0154",33.540175,115.36849,"20200519"
"L1120_NPZT4_14_21_25_0155",33.54015333,115.3684467,"20200519"
"L1120_NPZT4_14_21_25_0156",33.54014333,115.36841,"20200519"
"L1120_NPZT4_14_21_25_0157",33.54012833,115.3683783,"20200519"
"L1120_NPZT4_14_21_25_0158",33.54011833,115.3683517,"20200519"
"L1120_NPZT4_14_21_25_0159",33.54010667,115.36832,"20200519"
"L1120_NPZT4_14_21_25_0160",33.54009667,115.3682933,"20200519"
"L1120_NPZT4_14_21_25_0161",33.54008333,115.3682667,"20200519"
"L1120_NPZT4_14_21_25_0162",33.54008,115.3682383,"20200519"
"L1120_NPZT4_14_21_25_0163",33.540075,115.3682067,"20200519"
"L1120_NPZT4_14_21_25_0164",33.54006833,115.36818,"20200519"
"L1120_NPZT4_14_21_25_0165",33.54006333,115.368165,"20200519"
"L1120_NPZT4_14_21_25_0166",33.54006167,115.36814,"20200519"
"L1120_NPZT4_14_21_25_0167",33.54005833,115.3681217,"20200519"
"L1120_NPZT4_14_21_25_0168",33.54006167,115.3680917,"20200519"
"L1120_NPZT4_14_21_25_0169",33.54006667,115.36806,"20200519"
"L1120_NPZT4_14_21_25_0170",33.54007,115.36803,"20200519"
"L1120_NPZT4_14_21_25_0171",33.54008833,115.3679817,"20200519"
"L1120_NPZT4_14_21_25_0172",33.54010667,115.367935,"20200519"
"L1120_NPZT4_14_21_25_0173",33.54011167,115.3678833,"20200519"
"L1120_NPZT4_14_21_25_0174",33.54012167,115.3678333,"20200519"
"L1120_NPZT4_14_21_25_0175",33.54012667,115.3677833,"20200519"
"L1120_NPZT4_14_21_25_0176",33.540115,115.3677317,"20200519"
"L1120_NPZT4_14_21_25_0177",33.540105,115.36769,"20200519"
"L1120_NPZT4_14_21_25_0178",33.540095,115.3676583,"20200519"
"L1120_NPZT4_14_21_25_0179",33.54008167,115.3676217,"20200519"
"L1120_NPZT5_14_55_10_0023",33.55039833,115.36661,"20200519"
"L1120_NPZT5_14_55_10_0024",33.55041333,115.3666217,"20200519"
"L1120_NPZT5_14_55_10_0025",33.55043833,115.3666417,"20200519"
"L1120_NPZT5_14_55_10_0026",33.55047167,115.36667,"20200519"
"L1120_NPZT5_14_55_10_0027",33.55050333,115.3667033,"20200519"
"L1120_NPZT5_14_55_10_0028",33.55052167,115.3667267,"20200519"
"L1120_NPZT5_14_55_10_0029",33.55055,115.3667567,"20200519"
"L1120_NPZT5_14_55_10_0030",33.55057333,115.36678,"20200519"
"L1120_NPZT5_14_55_10_0031",33.550615,115.3667983,"20200519"
"L1120_NPZT5_14_55_10_0032",33.55064167,115.36683,"20200519"
"L1120_NPZT5_14_55_10_0033",33.55066833,115.3668533,"20200519"
"L1120_NPZT5_14_55_10_0034",33.55070167,115.3668783,"20200519"
"L1120_NPZT5_14_55_10_0035",33.55073833,115.3668967,"20200519"
"L1120_NPZT5_14_55_10_0036",33.55076,115.366915,"20200519"
"L1120_NPZT5_14_55_10_0037",33.55079167,115.3669483,"20200519"
"L1120_NPZT5_14_55_10_0038",33.55081333,115.3669733,"20200519"
"L1120_NPZT5_14_55_10_0039",33.55083167,115.3669983,"20200519"
"L1120_NPZT5_14_55_10_0040",33.550855,115.367025,"20200519"
"L1120_NPZT5_14_55_10_0041",33.550885,115.3670567,"20200519"
"L1120_NPZT5_14_55_10_0042",33.55090667,115.3670867,"20200519"
"L1120_NPZT5_14_55_10_0043",33.55093333,115.3671117,"20200519"
"L1120_NPZT5_14_55_10_0044",33.55096667,115.367135,"20200519"
"L1120_NPZT5_14_55_10_0045",33.55099833,115.3671567,"20200519"
"L1120_NPZT5_14_55_10_0046",33.551035,115.3671733,"20200519"
"L1120_NPZT5_14_55_10_0047",33.55107,115.3671933,"20200519"
"L1120_NPZT5_14_55_10_0048",33.551105,115.3672133,"20200519"
"L1120_NPZT5_14_55_10_0049",33.55113667,115.3672317,"20200519"
"L1120_NPZT5_14_55_10_0050",33.55117,115.3672517,"20200519"
"L1120_NPZT5_14_55_10_0051",33.55120667,115.3672717,"20200519"
"L1120_NPZT5_14_55_10_0052",33.551245,115.3672883,"20200519"
"L1120_NPZT5_14_55_10_0053",33.551275,115.3673067,"20200519"
