campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032605_166_FC16.png,-33.3511835,115.1118591,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032605_666_FC16.png,-33.3511842,115.1118558,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032606_166_FC16.png,-33.3511848,115.1118524,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032606_666_FC16.png,-33.3511853,115.1118489,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032607_166_FC16.png,-33.3511856,115.1118453,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032607_666_FC16.png,-33.3511858,115.1118417,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032608_166_FC16.png,-33.3511858,115.1118379,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032608_666_FC16.png,-33.3511855,115.1118343,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032609_167_FC16.png,-33.3511851,115.1118307,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032609_667_FC16.png,-33.3511844,115.1118272,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032610_167_FC16.png,-33.3511835,115.1118236,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032610_667_FC16.png,-33.3511824,115.11182,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032611_167_FC16.png,-33.351181,115.1118165,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032611_667_FC16.png,-33.3511793,115.1118133,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032612_167_FC16.png,-33.3511774,115.1118101,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032612_667_FC16.png,-33.3511753,115.111807,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032613_167_FC16.png,-33.3511731,115.1118039,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032613_667_FC16.png,-33.3511707,115.1118008,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032614_167_FC16.png,-33.3511682,115.1117978,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032614_667_FC16.png,-33.3511656,115.1117948,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032615_167_FC16.png,-33.351163,115.1117917,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032615_667_FC16.png,-33.3511603,115.1117886,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032616_167_FC16.png,-33.3511576,115.1117853,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032616_667_FC16.png,-33.3511549,115.1117819,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032617_167_FC16.png,-33.3511523,115.1117783,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032617_667_FC16.png,-33.3511498,115.1117747,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032618_167_FC16.png,-33.3511472,115.1117711,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032618_667_FC16.png,-33.3511448,115.1117675,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032619_167_FC16.png,-33.3511423,115.1117638,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032619_667_FC16.png,-33.3511398,115.1117601,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032620_167_FC16.png,-33.351137,115.1117565,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032620_667_FC16.png,-33.3511343,115.1117531,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032621_167_FC16.png,-33.3511315,115.1117499,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032621_667_FC16.png,-33.3511286,115.1117469,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032622_167_FC16.png,-33.3511257,115.1117442,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032622_667_FC16.png,-33.3511226,115.1117417,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032623_168_FC16.png,-33.3511196,115.1117394,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032623_668_FC16.png,-33.3511163,115.1117372,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032624_168_FC16.png,-33.3511131,115.111735,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032624_668_FC16.png,-33.3511099,115.1117328,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032625_168_FC16.png,-33.3511066,115.1117304,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032625_668_FC16.png,-33.3511036,115.1117279,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032626_168_FC16.png,-33.3511007,115.1117251,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032626_668_FC16.png,-33.3510979,115.1117221,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032627_168_FC16.png,-33.3510954,115.1117188,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032627_668_FC16.png,-33.351093,115.1117153,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032628_168_FC16.png,-33.3510908,115.1117114,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032628_668_FC16.png,-33.3510886,115.1117073,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032629_168_FC16.png,-33.3510866,115.1117027,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032629_668_FC16.png,-33.3510847,115.1116977,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032630_168_FC16.png,-33.3510828,115.111693,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032630_668_FC16.png,-33.3510811,115.1116884,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032631_168_FC16.png,-33.3510794,115.1116837,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032631_668_FC16.png,-33.3510777,115.111679,,1388,1038
,,,,,,,
