OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
538	1.09	2023 01 17 09:10:16	E:\	538.EMObs
551	1.09	2023 01 17 09:10:16	E:\	551.EMObs
587	1.09	2023 01 17 09:10:16	E:\	587.EMObs
592	1.09	2023 01 17 09:10:16	E:\	592.EMObs
611	1.09	2023 01 17 09:10:16	E:\	611.EMObs
623	1.09	2023 01 17 09:10:16	E:\	623.EMObs
640	1.09	2023 01 17 09:10:16	E:\	640.EMObs
684	1.09	2023 01 17 09:10:16	E:\GB CONVERT\EM Done\	684.EMObs
688	1.09	2023 01 17 09:10:16	E:\	688.EMObs
704	1.09	2023 01 17 09:10:16	E:\	704.EMObs
711	1.09	2023 01 17 09:10:16	E:\	711.EMObs
720	1.09	2023 01 17 09:10:16	E:\	720.EMObs
752	1.09	2023 01 17 09:10:16	E:\	752.EMObs
784	1.09	2023 01 17 09:10:16	E:\	784.EMObs
794	1.09	2023 01 17 09:10:16	E:\	794.EMObs
807	1.09	2023 01 17 09:10:16	E:\	807.EMObs
816	1.09	2023 01 17 09:10:16	E:\	816.EMObs
832	1.09	2023 01 17 09:10:16	E:\	832.EMObs
842	1.09	2023 01 17 09:10:16	E:\	842.EMObs
843	1.09	2023 01 17 09:10:16	F:\GB CONVERT\EM Done\	843.EMObs
864	1.09	2023 01 17 09:10:16	E:\	864.EMObs
879	1.09	2023 01 17 09:10:16	E:\	879.EMObs
880	1.09	2023 01 17 09:10:16	E:\	880.EMObs
1108	1.09	2023 01 17 09:10:16	E:\	1108.EMObs
GBR3-3	1.09	2023 01 17 09:10:16	E:\	GBR3-3.EMObs
GBR1-1	1.09	2023 01 17 09:10:16	E:\	GBR1-1.EMObs
GBR2-1	1.09	2023 01 17 09:10:16	E:\	GBR2-1.EMObs
GBR2-2	1.09	2023 01 17 09:10:16	E:\	GBR2-2.EMObs
GBR2-4	1.09	2023 01 17 09:10:16	E:\	GBR2-4.EMObs
138	1.09	2023 01 17 09:10:16	G:\EM DONE\	138.EMObs
144	1.09	2023 01 17 09:10:16	E:\EM Done\	144.EMObs
154	1.09	2023 01 17 09:10:16	G:\EM DONE\	154.EMObs
202	1.09	2023 01 17 09:10:16	E:\EM Done\	202.EMObs
236	1.09	2023 01 17 09:10:16	F:\EM DONE\	236.EMObs
295	1.09	2023 01 17 09:10:16	G:\EM DONE\	295.EMObs
298	1.09	2023 01 17 09:10:16	E:\EM Done\	298.EMObs
428	1.09	2023 01 17 09:10:16	H:\EM Done\	428.EMObs
451	1.09	2023 01 17 09:10:16	G:\EM DONE\	451.EMObs
496	1.09	2023 01 17 09:10:16	F:\GB CONVERT\EM Done\	496.EMObs
499	1.09	2023 01 17 09:10:16	H:\EM Done\	499.EMObs
528	1.09	2023 01 17 09:10:16	E:\EM Done\	528.EMObs
560	1.09	2023 01 17 09:10:16	F:\EM Done\Lengths Done\	560.EMObs
572	1.09	2023 01 17 09:10:16	G:\Everything Else\GB CONVERT\EM Done\Lengths Done\	572.EMObs
602	1.09	2023 01 17 09:10:16	E:\GB CONVERT\EM Done\	602.EMObs
615	1.09	2023 01 17 09:10:16	E:\EM Done\	615.EMObs
714	1.09	2023 01 17 09:10:16	F:\GB CONVERT\EM Done\	714.EMObs
735	1.09	2023 01 17 09:10:16	G:\EM DONE\	735.EMObs
736	1.09	2023 01 17 09:10:16	F:\GB CONVERT\EM Done\	736.EMObs
828	1.09	2023 01 17 09:10:16	E:\EM Done\	828.EMObs
GBR2-3	1.09	2023 01 17 09:10:16	E:\EM Done\	GBR2-3.EMObs
GBR3-1	1.09	2023 01 17 09:10:16	H:\EM Done\	GBR3-1.EMObs
GBR3-2	1.09	2023 01 17 09:10:16	N:\	GBR3-2.EMObs
GBR3-4	1.09	2023 01 17 09:10:16	H:\EM Done\	GBR3-4.EMObs
