"sample","maxn.analyst","curtin.observer","successful.count","latitude","longitude","commonwealth.zone","state.zone","status","priority"
"499","","Lauren","",-33.45165,115.5441167,NA,NA,"Fished",NA
"503","Daphne (finishes at 55:48)","Lizzy","",-33.5845333,115.3097667,"Multiple Use Zone",NA,"Fished",NA
"506","Logan ","Lizzy","Yes",-33.5173833,115.4165,"Multiple Use Zone",NA,"Fished",NA
"512","","Lizzy","",-33.5094,115.4873333,NA,NA,"Fished",NA
"523","Logan","Laura","Yes",-33.5634333,115.1589167,"Multiple Use Zone",NA,"Fished",NA
"527","Logan","laura","Yes",-33.5894167,115.2078167,"Habitat Protection Zone",NA,"Fished",NA
"528","","Lauren","",-33.48105,115.4971,NA,NA,"Fished",NA
"538","","Laura","",-33.5839167,115.3846667,NA,NA,"Fished",NA
"543","","Lauren","",-33.5950333,115.2434,"Multiple Use Zone",NA,"Fished","1"
"544","Daphne","Lauren","",-33.4464167,115.43405,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"551","","Lizzy","",-33.5735167,115.3901333,NA,"East Geographe Bay Sanctuary Zone","No-take",NA
"554","Logan ","Laura","Yes",-33.55765,115.3835167,"National Park Zone",NA,"No-take",NA
"560","","Lauren","",-33.4381667,115.5268667,NA,NA,"Fished",NA
"567","","Lizzy","",-33.5866833,115.2760167,"Multiple Use Zone",NA,"Fished","2"
"570","","Lauren","",-33.5731333,115.1625333,"Multiple Use Zone",NA,"Fished","1"
"572","","Lauren","",-33.3913,115.5492167,NA,NA,"Fished",NA
"579","Daphne","Laura","",-33.5017167,115.37405,"Multiple Use Zone",NA,"Fished",NA
"576","","N/A","No",NA,NA,NA,NA,NA,NA
"583","Logan","Damon","Yes",-33.47835,115.3932,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"587","","Lizzy","",-33.5934667,115.1873833,NA,NA,"Fished",NA
"586","","Lizzy","",-33.5309167,115.38595,"National Park Zone",NA,"No-take","2"
"592","","Laura","",-33.5185,115.4460167,NA,NA,"Fished",NA
"599","Logan","Laura","Yes",-33.5021167,115.4508,"Multiple Use Zone",NA,"Fished",NA
"602","","Lauren","",-33.6202,115.25615,NA,NA,"Fished",NA
"608","Daphne","Lauren","",-33.4551833,115.4702833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"611"," ","Laura","",-33.5421333,115.4590333,NA,NA,"Fished",NA
"615","","Lauren","",-33.5980667,115.3327667,NA,NA,"Fished",NA
"623","","Lizzy","",-33.6129333,115.1556167,NA,NA,"Fished",NA
"618","","Lizzy","",-33.5678833,115.3528167,"Multiple Use Zone",NA,"Fished","2"
"624","Hayley ","Lizzy","Yes",-33.4209667,115.4918833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"631","","Lauren","",-33.5778833,115.2541167,"Multiple Use Zone",NA,"Fished","1"
"633","Daphne","Lauren","",-33.4711667,115.4535,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"634","Logan","Laura","Yes",-33.5336667,115.4141167,"Multiple Use Zone",NA,"Fished",NA
"635","","Lauren","",-33.5809667,115.1995667,"Multiple Use Zone",NA,"Fished","1"
"640","","Lizard","",-33.5162,115.4646167,NA,NA,"Fished",NA
"647","Logan","Lauren","Yes",-33.4926,115.42465,"Multiple Use Zone",NA,"Fished",NA
"655","","Lauren","",-33.5812,115.2456833,"Multiple Use Zone",NA,"Fished","1"
